Timestamp,Duration,Billed Duration,Memory Size,Max Memory Used,Init Duration
1725634334540,17.08,18,128,68,
1725634335957,1.8,2,128,68,
1725634337417,1.87,2,128,68,
1725634338737,1.88,2,128,68,
1725634340078,14.91,15,128,68,
1725634341677,1.79,2,128,68,
1725634343317,1.99,2,128,68,
1725634344638,1.82,2,128,68,
1725634345962,2.67,3,128,68,
1725634347297,1.89,2,128,68,
1725634348638,2.09,3,128,68,
1725634349997,2.12,3,128,68,
1725634351425,2.35,3,128,68,
1725634352838,2.08,3,128,68,
1725634354257,1.99,2,128,68,
1725634355717,2.02,3,128,68,
1725634357118,2.21,3,128,68,
1725634358558,2.05,3,128,68,
1725634359977,2.15,3,128,68,
1725634361395,1.87,2,128,68,
1725634362838,9.91,10,128,68,
1725634364278,1.79,2,128,68,
1725634365699,1.85,2,128,68,
1725634367217,1.79,2,128,68,
1725634368699,2.33,3,128,68,
1725634370137,1.91,2,128,68,
1725634371578,16.06,17,128,68,
1725634372918,1.97,2,128,68,
1725634374358,11.03,12,128,68,
1725634375698,1.78,2,128,68,
1725634376977,1.99,2,128,68,
1725634378304,1.99,2,128,68,
1725634379618,2.64,3,128,68,
1725634380934,3.25,4,128,68,
1725634382262,1.97,2,128,68,
1725634383621,1.85,2,128,68,
1725634385038,14.22,15,128,68,
1725634386447,1.72,2,128,68,
1725634387978,2.04,3,128,68,
1725634389417,1.69,2,128,68,
1725634391057,2.27,3,128,68,
1725634392797,1.88,2,128,68,
1725634394206,2.5,3,128,68,
1725634395579,10.84,11,128,68,
1725634396919,19.73,20,128,68,
1725634398254,1.68,2,128,68,
1725634399604,1.98,2,128,68,
1725634400939,7.05,8,128,68,
1725634402258,11.11,12,128,68,
1725634403659,1.95,2,128,68,
1725634405018,9.97,10,128,68,
1725634406478,2.05,3,128,68,
1725634407958,2.04,3,128,68,
1725634409498,2.03,3,128,68,
1725634410959,20.17,21,128,68,
1725634412418,1.84,2,128,68,
1725634413839,12.1,13,128,68,
1725634415359,15.46,16,128,68,
1725634416798,1.93,2,128,68,
1725634418238,1.9,2,128,68,
1725634419698,2.2,3,128,68,
1725634421118,3.63,4,128,68,
1725634422598,1.87,2,128,68,
1725634424063,2.04,3,128,68,
1725634425458,10.14,11,128,68,
1725634426859,1.85,2,128,68,
1725634428252,1.81,2,128,68,
