Timestamp,Duration,Billed Duration,Memory Size,Max Memory Used,Init Duration
1725634342148,28.12,29,128,32,
1725634343808,4.19,5,128,32,
1725634345287,40.74,41,128,32,
1725634346789,24.33,25,128,32,
1725634348308,38.59,39,128,32,
1725634349748,4.85,5,128,32,
1725634351189,17.61,18,128,32,
1725634352608,7.78,8,128,32,
1725634354048,22.63,23,128,32,
1725634355488,25.17,26,128,32,
1725634356908,21.09,22,128,32,
1725634358407,25.22,26,128,32,
1725634359808,12.17,13,128,32,
1725634361308,21.14,22,128,32,
1725634362748,6.58,7,128,32,
1725634364209,8.9,9,128,32,
1725634365688,10.26,11,128,32,
1725634367229,17.91,18,128,32,
1725634368708,3.43,4,128,32,
1725634370229,29.78,30,128,32,
1725634371723,4.01,5,128,32,
1725634373188,12.91,13,128,32,
1725634374688,8.2,9,128,32,
1725634376128,9.89,10,128,32,
1725634377568,16.31,17,128,32,
1725634379067,26.55,27,128,32,
1725634380489,8.35,9,128,32,
1725634381987,27.1,28,128,32,
1725634383467,38.93,39,128,32,
1725634384948,22.07,23,128,32,
1725634386428,10.47,11,128,32,
1725634387968,12.49,13,128,32,
1725634389508,39.07,40,128,32,
1725634391088,5.56,6,128,32,
1725634392828,18.94,19,128,32,
1725634394288,14.69,15,128,32,
1725634395788,16.28,17,128,32,
1725634397268,18.1,19,128,32,
1725634398768,4.37,5,128,32,
1725634400367,22.55,23,128,32,
1725634401808,24.01,25,128,32,
1725634403308,22.41,23,128,32,
1725634404748,11.54,12,128,32,
1725634406308,12.14,13,128,32,
1725634407928,5.45,6,128,32,
1725634409568,22.69,23,128,32,
1725634411028,5.45,6,128,32,
1725634412488,14.63,15,128,32,
1725634413947,4.77,5,128,32,
1725634415428,11.43,12,128,32,
1725634416888,8.17,9,128,32,
1725634418369,20.77,21,128,32,
1725634419827,26.04,27,128,32,
1725634421288,31.08,32,128,32,
1725634422748,4.14,5,128,32,
1725634424228,21.07,22,128,32,
1725634425688,35.16,36,128,32,
1725634427108,4.9,5,128,32,
1725634428548,8.21,9,128,32,
1725634429968,20.33,21,128,32,
1725634431468,17.45,18,128,32,
1725634432988,7.63,8,128,32,
1725634434708,31.48,32,128,32,
1725634436127,25.66,26,128,32,
1725634437529,19.81,20,128,32,
1725634439030,19.23,20,128,32,
1725634440708,20.75,21,128,32,
