Timestamp,Duration,Billed Duration,Memory Size,Max Memory Used,Init Duration
1725634349874,5.55,6,512,33,
1725634351320,5.54,6,512,33,
1725634352812,4.87,5,512,33,
1725634354274,4.98,5,512,33,
1725634355758,6.94,7,512,33,
1725634357245,5.27,6,512,33,
1725634358720,5.01,6,512,33,
1725634360198,5.92,6,512,33,
1725634361582,5.13,6,512,33,
1725634362977,4.95,5,512,33,
1725634364414,4.82,5,512,33,
1725634365859,5.94,6,512,33,
1725634367302,5.42,6,512,33,
1725634368773,5.06,6,512,33,
1725634370219,5.62,6,512,33,
1725634371741,5.15,6,512,33,
1725634373213,5.25,6,512,33,
1725634374713,5.49,6,512,33,
1725634376158,5.84,6,512,33,
1725634377588,5.07,6,512,33,
1725634379045,5.08,6,512,33,
1725634380478,5.67,6,512,33,
1725634381960,5.11,6,512,33,
1725634383414,5.17,6,512,33,
1725634384906,5.12,6,512,33,
1725634386398,5.82,6,512,33,
1725634387959,5.97,6,512,33,
1725634389494,4.85,5,512,33,
1725634391095,5.82,6,512,33,
1725634392818,5.52,6,512,33,
1725634394281,5.24,6,512,33,
1725634395777,5.12,6,512,33,
1725634397241,6.23,7,512,33,
1725634398761,5.1,6,512,33,
1725634400161,4.9,5,512,33,
1725634401582,5.83,6,512,33,
1725634403049,5.17,6,512,33,
1725634404551,4.98,5,512,33,
1725634406158,5.11,6,512,33,
1725634407738,6.04,7,512,33,
1725634409261,4.95,5,512,33,
1725634410748,4.92,5,512,33,
1725634412190,5.5,6,512,33,
1725634413629,5.08,6,512,33,
1725634415185,4.93,5,512,33,
1725634416680,4.84,5,512,33,
1725634418118,5.97,6,512,33,
1725634419566,5.86,6,512,33,
1725634421054,4.88,5,512,33,
1725634422596,5.78,6,512,33,
1725634424093,5.3,6,512,33,
1725634425563,4.85,5,512,33,
1725634427023,5.9,6,512,33,
1725634428484,6.22,7,512,33,
1725634429917,5.3,6,512,33,
1725634431416,6.29,7,512,33,
1725634432987,5.7,6,512,33,
1725634434679,5.32,6,512,33,
1725634436170,4.88,5,512,33,
1725634437606,6.28,7,512,33,
1725634439019,16.9,17,512,33,
1725634440678,5.09,6,512,33,
1725634442059,5.06,6,512,33,
1725634443480,5.62,6,512,33,
1725634444966,5.78,6,512,33,
1725634446787,5.23,6,512,33,
1725634448195,4.78,5,512,33,
